director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
JamesCameron,CCHPounder,JoelDavidMoore,WesStudi,"action,adventure,fantasy,sci-fi",Avatar,"CCHPounder JoelDavidMoore WesStudi JamesCameron action,adventure,fantasy,sci-fi avatar,future,marine,native,paraplegic"
GoreVerbinski,JohnnyDepp,OrlandoBloom,JackDavenport,"action,adventure,fantasy",Pirates of the Caribbean: At World's End,"JohnnyDepp OrlandoBloom JackDavenport GoreVerbinski action,adventure,fantasy goddess,marriageceremony,marriageproposal,pirate,singapore"
SamMendes,ChristophWaltz,RoryKinnear,StephanieSigman,"action,adventure,thriller",Spectre,"ChristophWaltz RoryKinnear StephanieSigman SamMendes action,adventure,thriller bomb,espionage,sequel,spy,terrorist"
ChristopherNolan,TomHardy,ChristianBale,JosephGordon-Levitt,"action,thriller",The Dark Knight Rises,"TomHardy ChristianBale JosephGordon-Levitt ChristopherNolan action,thriller deception,imprisonment,lawlessness,policeofficer,terroristplot"
DougWalker,DougWalker,RobWalker,unknown,documentary,Star Wars: Episode VII - The Force Awakens,DougWalker RobWalker unknown DougWalker documentary unknown
AndrewStanton,DarylSabara,SamanthaMorton,PollyWalker,"action,adventure,sci-fi",John Carter,"DarylSabara SamanthaMorton PollyWalker AndrewStanton action,adventure,sci-fi alien,americancivilwar,malenipple,mars,princess"
NathanGreno,BradGarrett,DonnaMurphy,M.C.Gainey,"adventure,animation,comedy,family,fantasy,musical,romance",Tangled,"BradGarrett DonnaMurphy M.C.Gainey NathanGreno adventure,animation,comedy,family,fantasy,musical,romance 17thcentury,basedonfairytale,disney,flower,tower"
JossWhedon,ChrisHemsworth,RobertDowneyJr.,ScarlettJohansson,"action,adventure,sci-fi",Avengers: Age of Ultron,"ChrisHemsworth RobertDowneyJr. ScarlettJohansson JossWhedon action,adventure,sci-fi artificialintelligence,basedoncomicbook,captainamerica,marvelcinematicuniverse,superhero"
DavidYates,AlanRickman,DanielRadcliffe,RupertGrint,"adventure,family,fantasy,mystery",Harry Potter and the Half-Blood Prince,"AlanRickman DanielRadcliffe RupertGrint DavidYates adventure,family,fantasy,mystery blood,book,love,potion,professor"
ZackSnyder,HenryCavill,LaurenCohan,AlanD.Purwin,"action,adventure,sci-fi",Batman v Superman: Dawn of Justice,"HenryCavill LaurenCohan AlanD.Purwin ZackSnyder action,adventure,sci-fi basedoncomicbook,batman,sequeltoareboot,superhero,superman"
BryanSinger,KevinSpacey,MarlonBrando,FrankLangella,"action,adventure,sci-fi",Superman Returns,"KevinSpacey MarlonBrando FrankLangella BryanSinger action,adventure,sci-fi crystal,epic,lexluthor,loislane,returntoearth"
MarcForster,GiancarloGiannini,MathieuAmalric,RoryKinnear,"action,adventure",Quantum of Solace,"GiancarloGiannini MathieuAmalric RoryKinnear MarcForster action,adventure actionhero,attemptedrape,bondgirl,officialjamesbondseries,revenge"
GoreVerbinski,JohnnyDepp,OrlandoBloom,JackDavenport,"action,adventure,fantasy",Pirates of the Caribbean: Dead Man's Chest,"JohnnyDepp OrlandoBloom JackDavenport GoreVerbinski action,adventure,fantasy boxofficehit,giantsquid,heart,liar'sdice,monster"
GoreVerbinski,JohnnyDepp,RuthWilson,TomWilkinson,"action,adventure,western",The Lone Ranger,"JohnnyDepp RuthWilson TomWilkinson GoreVerbinski action,adventure,western horse,outlaw,texas,texasranger,train"
ZackSnyder,HenryCavill,ChristopherMeloni,HarryLennix,"action,adventure,fantasy,sci-fi",Man of Steel,"HenryCavill ChristopherMeloni HarryLennix ZackSnyder action,adventure,fantasy,sci-fi basedoncomicbook,britishactorplayingamericancharacter,finalbattle,originofhero,reboot"
AndrewAdamson,PeterDinklage,PierfrancescoFavino,DamiánAlcázar,"action,adventure,family,fantasy",The Chronicles of Narnia: Prince Caspian,"PeterDinklage PierfrancescoFavino DamiánAlcázar AndrewAdamson action,adventure,family,fantasy brotherbrotherrelationship,brothersisterrelationship,goodversusevil,king,narnia"
RobMarshall,JohnnyDepp,SamClaflin,StephenGraham,"action,adventure,fantasy",Pirates of the Caribbean: On Stranger Tides,"JohnnyDepp SamClaflin StephenGraham RobMarshall action,adventure,fantasy blackbeard,captain,pirate,revenge,soldier"
BarrySonnenfeld,WillSmith,MichaelStuhlbarg,NicoleScherzinger,"action,adventure,comedy,family,fantasy,sci-fi",Men in Black 3,"WillSmith MichaelStuhlbarg NicoleScherzinger BarrySonnenfeld action,adventure,comedy,family,fantasy,sci-fi alien,criminal,m.i.b.,maximumsecurityprison,prison"
PeterJackson,AidanTurner,AdamBrown,JamesNesbitt,"adventure,fantasy",The Hobbit: The Battle of the Five Armies,"AidanTurner AdamBrown JamesNesbitt PeterJackson adventure,fantasy army,elf,hobbit,middleearth,orc"
MarcWebb,EmmaStone,AndrewGarfield,ChrisZylka,"action,adventure,fantasy",The Amazing Spider-Man,"EmmaStone AndrewGarfield ChrisZylka MarcWebb action,adventure,fantasy lizard,outcast,spider,spiderman,teenager"
RidleyScott,MarkAddy,WilliamHurt,ScottGrimes,"action,adventure,drama,history",Robin Hood,"MarkAddy WilliamHurt ScottGrimes RidleyScott action,adventure,drama,history 1190s,archer,england,kingofengland,robinhood"
PeterJackson,AidanTurner,AdamBrown,JamesNesbitt,"adventure,fantasy",The Hobbit: The Desolation of Smaug,"AidanTurner AdamBrown JamesNesbitt PeterJackson adventure,fantasy dwarf,elf,laketown,mountain,swordandsorcery"
ChrisWeitz,ChristopherLee,EvaGreen,KristinScottThomas,"adventure,family,fantasy",The Golden Compass,"ChristopherLee EvaGreen KristinScottThomas ChrisWeitz adventure,family,fantasy children,epic,friend,girl,quest"
JamesCameron,LeonardoDiCaprio,KateWinslet,GloriaStuart,"drama,romance",Titanic,"LeonardoDiCaprio KateWinslet GloriaStuart JamesCameron drama,romance artist,love,ship,titanic,wet"
AnthonyRusso,RobertDowneyJr.,ScarlettJohansson,ChrisEvans,"action,adventure,sci-fi",Captain America: Civil War,"RobertDowneyJr. ScarlettJohansson ChrisEvans AnthonyRusso action,adventure,sci-fi basedoncomicbook,knife,marvelcinematicuniverse,returningcharacterkilledoff,superhero"
PeterBerg,LiamNeeson,AlexanderSkarsgård,TadanobuAsano,"action,adventure,sci-fi,thriller",Battleship,"LiamNeeson AlexanderSkarsgård TadanobuAsano PeterBerg action,adventure,sci-fi,thriller boxofficeflop,hawaii,naval,oahuhawaii,ship"
ColinTrevorrow,BryceDallasHoward,JudyGreer,OmarSy,"action,adventure,sci-fi,thriller",Jurassic World,"BryceDallasHoward JudyGreer OmarSy ColinTrevorrow action,adventure,sci-fi,thriller dinosaur,disasterfilm,experimentgonewrong,jurassicpark,velociraptor"
SamRaimi,J.K.Simmons,JamesFranco,KirstenDunst,"action,adventure,fantasy,romance",Spider-Man 2,"J.K.Simmons JamesFranco KirstenDunst SamRaimi action,adventure,fantasy,romance death,doctor,scientist,supervillain,tentacle"
ShaneBlack,RobertDowneyJr.,JonFavreau,DonCheadle,"action,adventure,sci-fi",Iron Man 3,"RobertDowneyJr. JonFavreau DonCheadle ShaneBlack action,adventure,sci-fi armor,explosion,humanbomb,missileattack,terrorist"
BrettRatner,HughJackman,KelseyGrammer,DanielCudmore,"action,adventure,fantasy,sci-fi,thriller",X-Men: The Last Stand,"HughJackman KelseyGrammer DanielCudmore BrettRatner action,adventure,fantasy,sci-fi,thriller battle,mutant,outrage,walkingthroughawall,xmen"
DanScanlon,SteveBuscemi,TylerLabine,SeanHayes,"adventure,animation,comedy,family,fantasy",Monsters University,"SteveBuscemi TylerLabine SeanHayes DanScanlon adventure,animation,comedy,family,fantasy cheating,fraternity,monster,singinginacar,university"
MichaelBay,GlennMorshower,KevinDunn,RamonRodriguez,"action,adventure,sci-fi",Transformers: Revenge of the Fallen,"GlennMorshower KevinDunn RamonRodriguez MichaelBay action,adventure,sci-fi autobot,decepticon,machine,sun,symbol"
MichaelBay,BingbingLi,SophiaMyles,KelseyGrammer,"action,adventure,sci-fi",Transformers: Age of Extinction,"BingbingLi SophiaMyles KelseyGrammer MichaelBay action,adventure,sci-fi blockbuster,bumblebeethecharacter,semitruckandtrailer,texas,truck"
MarcWebb,EmmaStone,AndrewGarfield,B.J.Novak,"action,adventure,fantasy,sci-fi",The Amazing Spider-Man 2,"EmmaStone AndrewGarfield B.J.Novak MarcWebb action,adventure,fantasy,sci-fi costumedhero,deathofgirlfriend,maskedvigilante,returningcharacterkilledoff,teenager"
